Country Name,Country Code,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Sweden,SWE,9519374,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811
Switzerland,CHE,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8703405
Syrian Arab Republic,SYR,22605577,21495821,20072232,19205178,18964252,18983373,19333463,20098251,20772595,21324367
Tajikistan,TJK,7956382,8136610,8326348,8524063,8725318,8925525,9128132,9337003,9543207,9750064
Tanzania,TZA,47786137,49253643,50814552,52542823,54401802,56267032,58090443,59872579,61704518,63588334
Thailand,THA,69157023,69578602,69960943,70294397,70607037,70898202,71127802,71307763,71475664,71601103
Timor-Leste,TLS,1137676,1161555,1184830,1205813,1224562,1243235,1261845,1280438,1299995,1320942
Togo,TGO,6926635,7106229,7288383,7473229,7661354,7852795,8046679,8243094,8442580,8644829
Tonga,TON,107502,107089,106626,106122,105707,105415,105150,104951,105254,106017
Trinidad and Tobago,TTO,1430377,1440729,1450661,1460177,1469330,1478607,1504709,1519955,1518147,1525663
Tunisia,TUN,11174383,11300284,11428948,11557779,11685667,11811443,11933041,12049314,12161723,12262946
Turkiye,TUR,75277439,76576117,78112073,79646178,81019394,82089826,82809304,83481684,84135428,84775404
Turkmenistan,TKM,5458682,5560095,5663152,5766431,5868561,5968383,6065066,6158420,6250438,6341855
Turks and Caicos Islands,TCA,32081,33594,34985,36538,38246,39844,41487,43080,44276,45114
Tuvalu,TUV,10854,10918,10899,10877,10852,10828,10865,10956,11069,11204
Uganda,UGA,34273295,35273570,36336539,37477356,38748299,40127085,41515395,42949080,44404611,45853778
Ukraine,UKR,45593342,45489648,45272155,45154036,45004673,44831135,44622518,44386203,44132049,43792855
United Arab Emirates,ARE,8664969,8751847,8835951,8916899,8994263,9068296,9140169,9211657,9287289,9365145
United Kingdom,GBR,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081000,67326569
United States,USA,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331501080,331893745
Uruguay,URY,3371133,3381180,3391662,3402818,3413766,3422200,3427042,3428409,3429086,3426260
Uzbekistan,UZB,29774500,30243200,30757700,31298900,31847900,32388600,32956100,33580350,34232050,34915100
Vanuatu,VUT,257313,263534,269927,276438,283218,290239,297298,304404,311685,319137
"Venezuela, RB",VEN,29470426,29838021,30193258,30529716,30741464,30563433,29825653,28971683,28490453,28199867
Vietnam,VNM,89301326,90267739,91235504,92191398,93126529,94033048,94914330,95776716,96648685,97468029
Virgin Islands (U.S.),VIR,108188,108041,107882,107712,107516,107281,107001,106669,106290,105870
West Bank and Gaza,PSE,3979998,4076708,4173398,4270092,4367088,4454805,4569087,4685306,4803269,4922749
"Yemen, Rep.",YEM,26223391,26984002,27753304,28516545,29274002,30034389,30790513,31546691,32284046,32981641
Zambia,ZMB,14744658,15234976,15737793,16248230,16767761,17298054,17835893,18380477,18927715,19473125
Zimbabwe,ZWE,13265331,13555422,13855753,14154937,14452704,14751101,15052184,15354608,15669666,15993524
